"Points:0","Points:1","Points:2"
1.3016,-0.0023431,0
1.3016,-0.0067848,0
1.3016,-0.011226,0
1.3016,-0.01357,0
1.3247,0,0
1.3247,-0.0023431,0
1.3247,-0.0067848,0
1.3247,-0.011226,0
1.3247,-0.01357,0
1.3368,0,0
1.3368,-0.0023431,0
1.3368,-0.0067848,0
1.3368,-0.011226,0
1.3368,-0.01357,0
1.3368,0,0
1.3368,-0.0023431,0
1.3368,-0.0067848,0
1.3368,-0.011226,0
1.3368,-0.01357,0
1.349,0,0
1.349,-0.0023431,0
1.349,-0.0067848,0
1.349,-0.011226,0
1.349,-0.01357,0
1.372,0,0
1.372,-0.0023431,0
1.372,-0.0067848,0
1.372,-0.011226,0
1.372,-0.01357,0
1.395,0,0
1.395,-0.0023431,0
1.395,-0.0067848,0
1.395,-0.011226,0
1.395,-0.01357,0
1.4072,0,0
1.4072,-0.0023431,0
1.4072,-0.0067848,0
1.4072,-0.011226,0
1.4072,-0.01357,0
1.4072,0,0
1.4072,-0.0023431,0
1.4072,-0.0067848,0
1.4072,-0.011226,0
1.4072,-0.01357,0
1.4193,0,0
1.4193,-0.0023431,0
1.4193,-0.0067848,0
1.4193,-0.011226,0
1.4193,-0.01357,0
1.4423,0,0
1.4423,-0.0023431,0
1.4423,-0.0067848,0
1.4423,-0.011226,0
1.4423,-0.01357,0
1.4654,0,0
1.4654,-0.0023431,0
1.4654,-0.0067848,0
1.4654,-0.011226,0
1.4654,-0.01357,0
1.4775,0,0
1.4775,-0.0023431,0
1.4775,-0.0067848,0
1.4775,-0.011226,0
1.4775,-0.01357,0
1.4775,0,0
1.4775,-0.0023431,0
1.4775,-0.0067848,0
1.4775,-0.011226,0
1.4775,-0.01357,0
1.4897,0,0
1.4897,-0.0023431,0
1.4897,-0.0067848,0
1.4897,-0.011226,0
1.4897,-0.01357,0
1.5127,0,0
1.5127,-0.0023431,0
1.5127,-0.0067848,0
1.5127,-0.011226,0
1.5127,-0.01357,0
1.5357,0,0
1.5357,-0.0023431,0
1.5357,-0.0067848,0
1.5357,-0.011226,0
1.5357,-0.01357,0
1.5479,0,0
1.5479,-0.0023431,0
1.5479,-0.0067848,0
1.5479,-0.011226,0
1.5479,-0.01357,0
1.5479,0,0
1.5479,-0.0023431,0
1.5479,-0.0067848,0
1.5479,-0.011226,0
1.5479,-0.01357,0
1.56,0,0
1.56,-0.0023431,0
1.56,-0.0067848,0
1.56,-0.011226,0
1.56,-0.01357,0
1.5831,0,0
1.5831,-0.0023431,0
1.5831,-0.0067848,0
1.5831,-0.011226,0
1.5831,-0.01357,0
1.6061,0,0
1.6061,-0.0023431,0
1.6061,-0.0067848,0
1.6061,-0.011226,0
1.6061,-0.01357,0
1.6182,0,0
1.6182,-0.0023431,0
1.6182,-0.0067848,0
1.6182,-0.011226,0
1.6182,-0.01357,0
1.6182,0,0
1.6182,-0.0023431,0
1.6182,-0.0067848,0
1.6182,-0.011226,0
1.6182,-0.01357,0
1.6304,0,0
1.6304,-0.0023431,0
1.6304,-0.0067848,0
1.6304,-0.011226,0
1.6304,-0.01357,0
1.6534,0,0
1.6534,-0.0023431,0
1.6534,-0.0067848,0
1.6534,-0.011226,0
1.6534,-0.01357,0
1.6764,0,0
1.6764,-0.0023431,0
1.6764,-0.0067848,0
1.6764,-0.011226,0
1.6764,-0.01357,0
1.6886,0,0
1.6886,-0.0023431,0
1.6886,-0.0067848,0
1.6886,-0.011226,0
1.6886,-0.01357,0
1.6886,0,0
1.6886,-0.0023431,0
1.6886,-0.0067848,0
1.6886,-0.011226,0
1.6886,-0.01357,0
1.7007,0,0
1.7007,-0.0023431,0
1.7007,-0.0067848,0
1.7007,-0.011226,0
1.7007,-0.01357,0
1.7238,0,0
1.7238,-0.0023431,0
1.7238,-0.0067848,0
1.7238,-0.011226,0
1.7238,-0.01357,0
1.7468,0,0
1.7468,-0.0023431,0
1.7468,-0.0067848,0
1.7468,-0.011226,0
1.7468,-0.01357,0
1.759,0,0
1.759,-0.0023431,0
1.759,-0.0067848,0
1.759,-0.011226,0
1.759,-0.01357,0
1.759,0,0
1.759,-0.0023431,0
1.759,-0.0067848,0
1.759,-0.011226,0
1.759,-0.01357,0
1.7711,0,0
1.7711,-0.0023431,0
1.7711,-0.0067848,0
1.7711,-0.011226,0
1.7711,-0.01357,0
1.7941,0,0
1.7941,-0.0023431,0
1.7941,-0.0067848,0
1.7941,-0.011226,0
1.7941,-0.01357,0
1.8172,0,0
1.8172,-0.0023431,0
1.8172,-0.0067848,0
1.8172,-0.011226,0
1.8172,-0.01357,0
1.8293,0,0
1.8293,-0.0023431,0
1.8293,-0.0067848,0
1.8293,-0.011226,0
1.8293,-0.01357,0
1.8293,0,0
1.8293,-0.0023431,0
1.8293,-0.0067848,0
1.8293,-0.011226,0
1.8293,-0.01357,0
1.8415,0,0
1.8415,-0.0023431,0
1.8415,-0.0067848,0
1.8415,-0.011226,0
1.8415,-0.01357,0
1.8645,0,0
1.8645,-0.0023431,0
1.8645,-0.0067848,0
1.8645,-0.011226,0
1.8645,-0.01357,0
1.8875,0,0
1.8875,-0.0023431,0
1.8875,-0.0067848,0
1.8875,-0.011226,0
1.8875,-0.01357,0
1.8997,0,0
1.8997,-0.0023431,0
1.8997,-0.0067848,0
1.8997,-0.011226,0
1.8997,-0.01357,0
1.8997,0,0
1.8997,-0.0023431,0
1.8997,-0.0067848,0
1.8997,-0.011226,0
1.8997,-0.01357,0
1.9118,0,0
1.9118,-0.0023431,0
1.9118,-0.0067848,0
1.9118,-0.011226,0
1.9118,-0.01357,0
1.9348,0,0
1.9348,-0.0023431,0
1.9348,-0.0067848,0
1.9348,-0.011226,0
1.9348,-0.01357,0
1.9579,0,0
1.9579,-0.0023431,0
1.9579,-0.0067848,0
1.9579,-0.011226,0
1.9579,-0.01357,0
1.97,0,0
1.97,-0.0023431,0
1.97,-0.0067848,0
1.97,-0.011226,0
1.97,-0.01357,0
1.97,0,0
1.97,-0.0023431,0
1.97,-0.0067848,0
1.97,-0.011226,0
1.97,-0.01357,0
1.9822,0,0
1.9822,-0.0023431,0
1.9822,-0.0067848,0
1.9822,-0.011226,0
1.9822,-0.01357,0
2.0052,0,0
2.0052,-0.0023431,0
2.0052,-0.0067848,0
2.0052,-0.011226,0
2.0052,-0.01357,0
2.0282,0,0
2.0282,-0.0023431,0
2.0282,-0.0067848,0
2.0282,-0.011226,0
2.0282,-0.01357,0
2.0404,0,0
2.0404,-0.0023431,0
2.0404,-0.0067848,0
2.0404,-0.011226,0
2.0404,-0.01357,0
2.0404,0,0
2.0404,-0.0023431,0
2.0404,-0.0067848,0
2.0404,-0.011226,0
2.0404,-0.01357,0
2.0525,0,0
2.0525,-0.0023431,0
2.0525,-0.0067848,0
2.0525,-0.011226,0
2.0525,-0.01357,0
2.0756,0,0
2.0756,-0.0023431,0
2.0756,-0.0067848,0
2.0756,-0.011226,0
2.0756,-0.01357,0
2.0986,0,0
2.0986,-0.0023431,0
2.0986,-0.0067848,0
2.0986,-0.011226,0
2.0986,-0.01357,0
2.1107,0,0
2.1107,-0.0023431,0
2.1107,-0.0067848,0
2.1107,-0.011226,0
2.1107,-0.01357,0
2.1107,0,0
2.1107,-0.0023431,0
2.1107,-0.0067848,0
2.1107,-0.011226,0
2.1107,-0.01357,0
2.1229,0,0
2.1229,-0.0023431,0
2.1229,-0.0067848,0
2.1229,-0.011226,0
2.1229,-0.01357,0
2.1459,0,0
2.1459,-0.0023431,0
2.1459,-0.0067848,0
2.1459,-0.011226,0
2.1459,-0.01357,0
2.1689,0,0
2.1689,-0.0023431,0
2.1689,-0.0067848,0
2.1689,-0.011226,0
2.1689,-0.01357,0
2.1811,0,0
2.1811,-0.0023431,0
2.1811,-0.0067848,0
2.1811,-0.011226,0
2.1811,-0.01357,0
2.1811,0,0
2.1811,-0.0023431,0
2.1811,-0.0067848,0
2.1811,-0.011226,0
2.1811,-0.01357,0
2.1932,0,0
2.1932,-0.0023431,0
2.1932,-0.0067848,0
2.1932,-0.011226,0
2.1932,-0.01357,0
2.2163,0,0
2.2163,-0.0023431,0
2.2163,-0.0067848,0
2.2163,-0.011226,0
2.2163,-0.01357,0
2.2393,0,0
2.2393,-0.0023431,0
2.2393,-0.0067848,0
2.2393,-0.011226,0
2.2393,-0.01357,0
2.2515,0,0
2.2515,-0.0023431,0
2.2515,-0.0067848,0
2.2515,-0.011226,0
2.2515,-0.01357,0
2.2515,0,0
2.2515,-0.0023431,0
2.2515,-0.0067848,0
2.2515,-0.011226,0
2.2515,-0.01357,0
2.2636,0,0
2.2636,-0.0023431,0
2.2636,-0.0067848,0
2.2636,-0.011226,0
2.2636,-0.01357,0
2.2866,0,0
2.2866,-0.0023431,0
2.2866,-0.0067848,0
2.2866,-0.011226,0
2.2866,-0.01357,0
2.3097,0,0
2.3097,-0.0023431,0
2.3097,-0.0067848,0
2.3097,-0.011226,0
2.3097,-0.01357,0
2.3218,0,0
2.3218,-0.0023431,0
2.3218,-0.0067848,0
2.3218,-0.011226,0
2.3218,-0.01357,0
2.3218,0,0
2.3218,-0.0023431,0
2.3218,-0.0067848,0
2.3218,-0.011226,0
2.3218,-0.01357,0
2.334,0,0
2.334,-0.0023431,0
2.334,-0.0067848,0
2.334,-0.011226,0
2.334,-0.01357,0
2.357,0,0
2.357,-0.0023431,0
2.357,-0.0067848,0
2.357,-0.011226,0
2.357,-0.01357,0
2.38,0,0
2.38,-0.0023431,0
2.38,-0.0067848,0
2.38,-0.011226,0
2.38,-0.01357,0
2.3922,0,0
